filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2005,2011,ARG,n.a.,Bank of Nova Scotia (or Scotiabank BNS) v. Argentine Republic,NA,3,1,2,CAN,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-Canada BIT,Banking,FIN,Approximately US$600m,600,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2011,ARM,n.a.,TS Investment Corp. v. Republic of Armenia,NA,0,NA,NA,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,LCIA,Armenia-United States BIT,Manufacturing (tires),MFG,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2010,2011,BOL,n.a.,Oiltanking GmbH and the Grana y Montero Group v. Bolivia,NA,3,1,2,DEU,settlement,1,,0,PER,n.a.,n.a.,n.a.,PCA,"Bolivia-Germany BIT, Bolivia-Peru BIT",Oil and gas,OIL,US$30m,30,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2011,CAF,ARB/07/10,M. Meerapfel Sohne AG v. Central African Republic,NA,-999,NA,NA,CHE,investor,0,,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Central African Republic-Switzerland BIT,"Manufacturing (cigarettes, tobacco)",MFG,unknown,unknown,yes,unknown,unknown,no,n.a.,n.a.,n.a.
2006,2011,CAN,n.a.,GL Farms LLC and Carl Adams v. Government of Canada,0,1,0,0,USA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Import/Export (dairy),SER,US$78m plus costs,78,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,2011,CAN,n.a.,William Jay Greiner and Malbaie River Outfitters Inc v. Canada,0,1,0,0,USA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Tourism (hunting and fishing outfitting and trips in Quebec),SER,CAD8m,8.4,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,2011,CAN,n.a.,Dow Agrosciences LLC v. Canada,0,1,0,0,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Manufacturing (specialty chemical products),MFG,US$2m,2,yes,"No monetary award, but Canada/Quebec withdraw the regulation and allow chemical to be sold",settlement,n.a.,n.a.,n.a.,n.a.
2009,2011,DEU,ARB/09/6,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG v. Federal Republic of Germany",0,1,0,0,SWE,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electricity concession (coal power plant),UTL,?_1.4b,1800,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2011,ECU,ARB/08/10,"Repsol YPF Ecuador SA, et al v. Republic of Ecuador & Empresa Estatal Petroleos del Ecuador (PetroEcuador)",NA,3,1,2,ESP,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Ecuador-Spain BIT,Oil and gas (exploration),OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2011,GAB,ARB/08/17,Participaciones Inversiones Portuarias SARL v. Gabon,0,0,NA,NA,BELLUX,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Belgium & Luxembourg-Gabon BIT, Gabon Investment Law (1998)",Port terminal concession,SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
